topic_id,Dickens,Twain,topterms
0,0.03654262186553626,0.034437938160318295,roads eh guides fountain mender shadow delay safety burst stone
1,0.029358263686743644,0.032069202734922725,king relief party form features porter yo wi cook housekeeper
2,0.030902652383518216,0.02936559881904134,effect position pace favour stone conference centre wretch struggle column
3,0.03848917473928429,0.027632138198166397,carriage creature bottle terror expression donkeys difficulty directly ships assistance
4,0.038761837367033904,0.029002375173085983,silence tone nature cause remark game tide wot shoe camp
5,0.04099376182740842,0.02695883808897264,honour knowledge niggers reflection ladder chairs undertaker future whos convict
6,0.03420260197617569,0.03494735793759746,canoe beer consideration ay health fog eyebrows thee sentence warnt
7,0.03371715690690004,0.035698485510566494,prisoner prison happiness cat chimney students lad gang applause corps
8,0.036451416498582336,0.03019237524039617,note bosom respect cents chamber aspect sum impression workhouse degrees
9,0.02801625505603098,0.03617178447029458,wine shop nigger reputation wagon folks figures wig illustrations magnificent
10,0.032924086401165883,0.03270580434020564,return witness influence ceiling echoes objection caps tale theyd clay
11,0.02749189631188205,0.03716939180927329,youre nation dignity blame reckon bucksheesh mist articles inn grin
12,0.03928009070869762,0.026791764947875846,sister hed communication whelp kitchen message hotel pie coachman aid
13,0.03776693106810016,0.026527845277009035,conversation countenance waiter knee notion ditch interview cell cloak steamer
14,0.03674768057366585,0.027862182386435563,coach appearance staircase success downstairs dread lane quickly courtyard gloves
15,0.028282779390284184,0.03890163369054441,service marshes marriage excursion hotel parties hearth haint voyage gratitude
16,0.028419308249834463,0.03182622560439708,rock discovery contents intelligence habit cats skin events expedition parting
17,0.03366986502880626,0.04454128789903207,city stone number guide companion present stones officer landlord fragments
18,0.036302315687015044,0.029048999187465962,ha possession gentlemans lantern food gun jay shes anger gallows
19,0.035779442467012965,0.03120866252423135,reply student pounds belief pain key agitation caution jacket duel
20,0.026987520605068812,0.0405626055588927,raft chapter prisoners fields fence prisoner log jury aside ruin
21,0.029228580309927952,0.036146548803480776,language cave youth expectations crown presently worship surgeon pretence city
22,0.040775183916670066,0.027197372256948557,gate office lamp citizen hush inquiry reader taste companions corpse
23,0.03476710703144115,0.02681532912528488,chap bye waistcoat thief counter motion train fond visitor mail
24,0.037295238818009877,0.028469552053271705,figure matron pound colour intention shore expression notes barber valley
25,0.025465785328397546,0.05148087392770269,summit view instant mountain rocks guide hopes desire forge precipice
26,0.02688300894921999,0.04018351383197521,duke king servant portrait visit forefinger description proposal si contempt
27,0.03648376771705529,0.031157848684552326,maam yer remembrance admiration fur dey ancient today priests impatiently
28,0.028666627270063836,0.0387445709066156,dollars theyre bridge robbery letters shawl passenger journal returned awhile
29,0.029347041860492272,0.03618189285144309,beadle courier education captain legend circus rats smiling dat justice
